Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify_streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,4/12/2024,USUYG1541249,37,226.4,311928522,"25,766",180237463,96,"62,694,868","837,616",,"27,811,667","378,313,942","243,895,569",149,,141,58,"26,516,005",146,"21,453,034","30,180","4,482,348","1,707,213",,1
Lose Control,Lose Control,Teddy Swims,6/23/2023,USWB12302315,38,224.1,775135157,"88,239",180617454,87,"139,180,960","1,504,385","396,560","49,060,857","597,513,595","4,016,801,205",215,"605,841",162,133,"42,675,181",120,"253,538,985","72,429","5,409,388","10,517,831",,0
fukumean,fukumean,Gunna,6/15/2023,USAT22306575,39,221.1,759998727,"188,142",80392612,80,"94,699,547","1,222,012","1,237,229","311,252,391","3,281,790,327","140,623,676",123,"265,291","4,003",40,"2,225,409",88,"64,456,799","20,518","33,130,829","3,945,184",,1
Dance Monkey,Dance Monkey,Tones And I,5/10/2019,QZES71982312,40,214.5,3071214106,"375,201",64901153,71,"3,366,447,481","27,240,268","10,342,366","393,814,740","5,861,939,942","2,428,166,573",549,"573,733",169,584,"5,749,770",121,"373,294,159","844,198","37,430,204","44,842,636",,0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401994,41,212.8,214237645,"10,871",202626837,92,"11,033,725","251,373","251,200","71,078,500","443,104,700","148,058,631",247,"3,400",8,67,"11,523,335",125,"840,442","2,592","1,369,981","285,858",,0
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,4/8/2023,KRA252300672,42,211.2,170970614,"27,827",5784546,41,"22,280,037","334,523","14,348,249","948,225,544","12,196,985,599",,2,672,,4,"35,737",9,"270,610","3,170",,,,1
I'm Good (Blue),I'm Good (Blue),David Guetta,8/26/2022,UKWLG2200055,43,209.6,1658229422,"262,248",239957538,83,"466,080,689","4,324,989","728,093","54,258,768","1,051,836,430","1,425,853,925",285,"935,190","2,487",207,"6,479,623",168,"139,926,990","31,235","8,007,236","10,973,120",,1
Daylight,Daylight,David Kushner,4/14/2023,QZXDB2300005,44,207.0,1126820069,"177,800",85255689,82,"274,070,101","3,701,289","2,557,115","285,329,503","2,578,518,632","1,205,538,057",163,"259,255",96,77,"3,413,707",80,"28,924,685","14,634","9,505,098","8,681,350",,0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,9/15/2023,USJ5G2335007,45,206.2,997702304,"105,927",92834002,86,"48,093,111","959,175","3,648,759","857,220,853","5,469,808,282","298,259,422",91,"36,285","2,676",63,"10,874,749",110,"6,151,267","9,160","7,980,051","2,682,219",,0
Please Please Please,Please Please Please,Sabrina Carpenter,6/6/2024,USUM72404101,46,205.7,59314441,"2,572",183043096,83,"22,374,807","1,026,097",,"188,200","1,200,000","110,446,147",199,"2,359",2,73,"13,686,074",98,"360,163",758,"9,883","47,115",,1
Houdini,Houdini - Single,Dua Lipa,11/9/2023,GBAHT2301246,47,205.1,493627071,"45,300",87874006,80,"150,571,504","1,575,378","93,500","35,970,610","386,610,043","3,129,834,452",174,"564,640",405,146,"28,246,184",127,"25,843,941","3,694","1,991,527","2,389,957",,0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,2/10/2023,GBUM72300969,49,203.6,304929492,"43,923",46133083,69,"61,986,821","921,044","13,872,768","390,207,653","5,684,815,935","19,218,089",78,"92,638",822,41,"3,467,570",36,"7,444,354","7,188",,"2,227,494",,1
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,1/13/2017,USUM71607007,50,203.5,1747093405,"178,114",49464650,74,"9,537,135,721","61,799,279","799,338","78,304,409","1,143,297,071","569,548,901",179,"121,234",116,145,"1,977,014",118,"266,603,596","2,359,900",,"19,622,551",,0
euphoria,euphoria,Kendrick Lamar,4/30/2024,USUG12402839,51,202.1,168434320,"17,168",62516401,86,"53,604,746","1,846,535",,,,"174,375,427",65,"6,408",77,20,"428,378",31,"3,156,727","4,843","4,304,870","654,482",,1
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,8/25/2022,NGA3B2214021,53,198.0,1391688322,"163,876",130963116,77,"902,742,581","8,099,187",599,"48,035","2,857,920","750,030,685",316,"1,107,265",,112,"11,937,930",146,"52,073,859","41,487","5,820,026","3,521,951",,0
Shape of You,Shape of You,Ed Sheeran,1/6/2017,GBAHS1600463,54,195.1,3909458734,"316,378",148037882,80,"8,013,997,219","45,770,887","2,270,315","194,420,058","2,320,856,331","2,294,804,623",465,"402,829",282,512,"2,710,931",115,"733,565,655","651,557","78,149,375","1,146,246",,0
Blinding Lights,Blinding Lights,The Weeknd,11/29/2019,USUG11904206,56,194.0,4281468720,"590,392",165544011,83,"833,807,130","10,093,211","2,882,064","337,322,563","3,501,177,394","2,258,085,924",859,"1,695,240","1,116",564,"11,701,129",184,"489,299,762","319,634","28,659,471","28,994,660",,0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,12/2/2022,USUG12208791,57,192.3,1337619917,"228,295",64806723,80,"193,982,443","2,023,998","423,714","148,085,419","1,268,862,678","444,033,037",152,"952,186",34,58,"2,134,791",66,"77,382,416","28,694",,"6,205,060",,1
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,9/22/2022,GBUM72205415,60,189.1,1556275789,"210,583",95974138,74,"254,051,906","3,364,206","2,379,787","683,088,623","7,945,975,878","1,524,133,775",203,"718,849",117,63,"1,616,564",167,"111,398,743","71,335","10,424,892","10,192,485",,0
Supernova,Supernova,aespa,5/13/2024,KRA302400090,63,186.1,69729033,"2,483",21046278,81,"111,310,770","1,724,693","56,600","61,038,623","393,973,528","32,059,104",40,709,13,7,"544,322",14,"45,515",100,"255,951","63,283",,0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214877,64,184.8,1811990630,"173,358",67603671,79,"1,516,863,120","8,870,768","4,506,600","549,886,060","6,470,937,272","934,894,575",124,"77,120",327,44,"14,871,714",63,"111,324,744","39,123",,"3,393,920",,1
Calm Down,Calm Down,Rema,2/10/2022,NGA3B2214004,66,180.1,584427088,"182,994",19203258,68,"1,141,904,909","8,766,235","6,129,450","856,216,952","18,216,656,774","2,952,879,912",138,"191,634",759,53,"3,481,756",45,"98,290,873","46,039","14,668,216","22,563,407",,0
CARNIVAL,CARNIVAL,ýý$,2/8/2024,QZ7XS2400012,67,179.6,466887055,"53,842",103935623,84,"27,688,666","449,112",,,,"33,817,299",42,"53,333",,11,"199,915",29,"1,359,484","11,303","11,703,609","1,982,000",,1
Kill Bill,SOS,SZA,12/8/2022,USRC12204584,68,177.7,1873746537,"190,202",99546318,82,"220,538,045","3,153,793","266,430","152,410,048","1,284,413,960","426,461,749",214,"655,242","5,448",73,"1,304,067",122,"57,350,590","61,270","16,992,932","4,873,832",,0
"What Was I Made For? [From The Motion Picture Barbie""""]""""","What Was I Made For? (From The Motion Picture Barbie"""")""""",Billie Eilish,7/13/2023,USUM72307484,69,177.6,891720245,"114,560",97542546,82,"144,741,616","2,761,964","1,443,103","498,822,693","3,998,086,216","1,384,310,160",168,"275,119",68,108,"10,920,686",111,"39,374,594","19,921","5,418,596","4,476,509",,0
Heat Waves,Heat Waves,Glass Animals,6/29/2020,GBUM72000433,71,175.0,2996181078,"486,278",112416489,82,"1,272,898,075","14,947,520","1,416,295","513,334,446","5,518,429,969","4,899,313,022",459,"1,414,326","1,434",170,"11,862,378",95,"122,247,640","160,431",,"17,848,778",,0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,1/11/2023,UYB282301031,73,174.3,946941510,"100,130",74836321,74,"776,436,101","12,951,756","4,210,895","797,017,650","11,936,401,096","457,987,382",110,"165,670",180,106,"4,971,379",92,"48,806,666","10,225",,"2,237,762",,0
Old Town Road,Old Town Road,Lil Nas X,3/14/2019,USSM11901941,75,170.3,1010494713,"127,393",18652312,67,"3,203,314,695","41,487,213","5,757,883","187,301,054","1,981,431,049","939,714,925",63,"49,780","2,195",64,"397,418",100,"181,784,010","2,022,074","106,880,548","8,856,633",,0
un x100to,un x100to,Grupo Frontera,4/17/2023,QM6N22311285,76,170.2,1008495696,"99,381",57394938,75,"878,892,413","4,425,283","796,603","127,651,887","1,669,065,906","1,522,934,425",101,"73,481",225,42,"5,734,172",81,"55,857,743","15,528",,"2,283,747",,0
Sprinter,Sprinter - Single,Dave,6/1/2023,GBUM72305159,78,168.1,692512930,"199,828",55464762,78,"219,666,692","2,332,307","731,797","130,560,533","1,254,944,697","918,145,630",155,"42,082",36,41,"1,790,031",76,"411,656","3,414","12,405,917","3,093,667",,1
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,USUM72401988,79,167.8,169410711,"11,028",144854768,90,"19,402,457","997,411",284,,,"260,377,114",185,"1,008",,53,"20,737,850",59,"521,322",698,"1,680,434","388,625",,0
TQG,TQG,KAROL G,2/23/2023,USUM72222541,80,167.8,1024381758,"78,554",69319589,78,"1,102,289,596","8,953,293","457,111","15,048,444","248,168,852","1,174,053,183",138,"149,584",38,84,"8,850,320",131,"68,022,934","16,511","164,895","3,488,226",,1
Perfect,ýý (Deluxe),Ed Sheeran,3/3/2017,GBAHS1700024,81,167.5,2969999682,"280,165",116921604,81,"6,473,698,897","39,632,673","6,642,975","601,244,764","7,647,479,866","1,708,317,539",208,"263,386",129,343,"1,242,581",102,"617,483,078","595,052",,,,0
Pepas,Pepas,Farruko,6/24/2021,USSD12100307,82,167.3,1500499584,"359,502",125112486,74,"1,431,591,689","11,553,088","2,866,181","290,811,371","4,067,248,819","782,475,986",258,"240,677",438,137,"4,015,523",102,"120,046,948","89,582","6,227","17,210,946",,1
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,3/16/2023,USE7D2300007,84,166.5,1215336974,"129,463",39814172,74,"701,880,622","3,831,236","5,416","550,073","15,373,104","546,259,059",83,"40,153",227,24,"4,946,338",61,"84,378,219","53,890","17,115,523","3,435,177",,0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,3/17/2023,MXF152300159,86,164.9,1032225805,"94,887",74469479,79,"920,878,032","3,118,229","1,031,612","116,003,972","2,416,141,351","1,690,231,413",83,"57,941",177,42,"3,360,878",48,"55,410,702","27,415","230,579","2,635,577",,1
Easy On Me,Easy On Me,Adele,10/14/2021,USSM12105970,88,163.2,1720918065,"209,635",93875458,73,"1,194,846,205","13,561,925","1,912,194","733,101,955","7,860,224,413","6,353,555,150",325,"774,277","1,316",257,"5,323,750",100,"203,324,731","126,594",,"7,569,155",,0
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,5/6/2022,QM6MZ2214878,89,163.1,1514239759,"190,692",77283361,77,"1,366,181,141","9,358,441","1,769,068","475,656,543","5,249,863,696","488,048,337",150,"145,640",920,44,"5,591,928",108,"69,095,169","81,914",,"5,133,847",,1
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,5/12/2023,USQX92302957,90,162.0,333202114,"108,322",41018697,68,"203,487,345","2,084,532","928,132","63,253,779","748,253,884","735,908,540",148,"346,411",146,30,"1,277,729",60,"90,114,807","46,789","16,620,102","4,207,535",,1
Anti-Hero,Midnights,Taylor Swift,10/21/2022,USUG12205736,91,161.8,1563224246,"117,005",97456780,80,"203,259,285","3,482,508","1,302,967","376,660,493","3,864,505,972","724,976,542",261,"1,034,319","1,088",74,"4,457,357",150,"92,338,994","45,974",,"4,703,179",,0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,7/6/2022,UYB282201028,92,161.7,1692951462,"209,490",88591675,78,"1,132,539,234","8,795,731","1,212,100","196,608,777","2,054,826,154","56,677,146",99,"138,254",37,58,"5,211,955",65,"18,052,815","5,213","4,099,686","6,836,893",,0
Magnetic,SUPER REAL ME,ILLIT,3/25/2024,USA2P2413259,93,161.0,255076355,"11,500",90584540,86,"202,206,901","2,596,912",,"57,656,713","506,476,590","273,521,596",67,"4,716",137,9,"423,666",44,"220,481","1,207","556,784","659,825",,0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,7/28/2023,USSD12300307,94,158.2,275349653,"37,806",22826643,70,"347,506,860","1,553,295","4,349,700","321,239,621","4,767,676,439","2,676,837,761",19,"23,875",96,37,"3,780,737",29,"5,101,044","5,276",,"1,245,874",,1
La Diabla,La Diabla - Single,Xavi,12/2/2023,USA2P2357356,95,155.9,649404552,"27,544",47789063,83,"433,839,212","2,750,086",,"414,833","10,603,563","1,795,939,912",29,"16,287",462,34,"16,509,806",26,"22,603,598","29,401",,"1,380,069",,0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,2/3/2023,GBAYE2300015,96,153.6,851085705,"129,047",50996176,70,"211,810,152","2,461,166","3,502,547","955,272,568","8,781,020,473","806,434,641",162,"223,173","6,243",65,"8,655,684",130,"10,207,007","36,847","13,896,129","2,580,691",,1
Snooze,SOS,SZA,12/9/2022,USRC12204591,97,153.3,1013350808,"108,036",86470319,84,"390,677,417","2,521,214","402,338","97,819,766","887,803,828","560,893,301",154,"559,589",513,60,"2,707,900",61,"74,611,167","85,113","17,702,595","3,129,609",,1
BELLAKEO,BELLAKEO,Peso Pluma,12/7/2023,QMFMF2388143,98,153.1,359803580,"26,065",79152427,86,"369,321,334","1,839,225","720,800","74,164,945","874,056,250","4,123,457,278",40,"16,952",69,63,"18,139,662",51,"20,058,510","7,289",,"1,002,835",,1
Prada,Prada,cassï¿,8/11/2023,GBCEN2300147,100,152.5,609699748,"128,498",160755092,83,"47,611,547","418,343","283,600","96,934,486","1,090,501,901","113,545,664",129,"123,242","1,570",167,"15,480,679",100,"1,210,830","1,073","25,956,265",,,1
Lil Boo Thang,Lil Boo Thang,Paul Russell,8/18/2023,USAR12300323,102,152.1,242070373,"37,170",74130983,76,"22,907,992","261,664","2,553,106","312,997,953","3,832,221,658","15,593,731",106,"370,635","5,999",69,"1,792,014",79,"84,425,715","30,713","670,026","2,219,984",,0
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364182,103,150.7,478150858,"73,306",51842133,78,"113,379,734","1,312,763","1,700,998","182,319,546","2,111,289,492","90,954,700",78,"35,330",39,56,"15,784,760",53,"17,823,388","12,664","4,374,049","2,255,465",,1
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,4/24/2020,USSM12002399,104,150.5,61382407,"7,240",1708319,43,"9,977,490","201,210","37,726,462","9,239,474","147,837,262",,15,"10,152",,5,"59,317",1,,,,"3,819,161",,0
Training Season,Training Season,Dua Lipa,2/15/2024,GBAHT2301078,106,148.9,251153869,"16,811",92985554,76,"66,691,067","961,957","102,884","34,572,688","431,390,500","2,120,552,147",162,"180,711",57,127,"33,540,073",116,"10,305,245","3,796","776,717","2,047,771",,0
Type Shit,WE DON'T TRUST YOU,Future,3/22/2024,USSM12402033,107,148.1,205206688,"28,064",84737651,84,"39,453,253","672,789",,,,"232,440,923",99,"3,432",45,41,"2,943,724",47,"5,897,303","4,527","7,571,301","900,933",,1
Armageddon,Armageddon - The 1st Album,aespa,5/27/2024,KRA302400093,108,147.4,32942304,"1,262",26204483,74,"57,861,795","1,257,935",,,,"29,510,774",37,290,6,5,"530,831",33,"21,869",48,"139,164","29,736",,0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,12/6/2019,USAT21906978,109,146.6,1911559785,"317,345",87765033,78,"441,257,231","4,829,633","4,930,490","561,201,008","4,574,447,121","2,077,511",255,"296,948",181,138,"555,650",28,"295,741,432","633,414","168,458,097","11,988,760",,1
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,7/23/2021,USSM12104539,110,145.3,2014959725,"354,831",87942438,70,"1,003,346,208","16,856,186","1,750,366","915,814,897","9,558,947,943","3,191,316,960",360,"245,228",925,109,"3,242,122",74,"75,167,268","96,430",,"12,693,846",,1
Pedro,Pedro - Single,Jaxomy,3/29/2024,DEE862400427,111,144.6,168145583,"27,654",159737263,85,"35,008,949","717,214",,,,"39,149,568",107,"4,448",,158,"16,345,999",54,"39,577",482,"3,634,381","2,408,838",,0
Fast Car,Gettin' Old,Luke Combs,3/24/2023,US6XF2200436,112,144.5,518988585,"73,116",58391498,80,"107,703,759","768,813","354,036","74,258,021","924,204,888","103,658,014",117,"673,629",59,67,"8,306,302",104,"184,924,061","88,890","728,039","3,108,167",,0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,1/7/2024,JPU902305042,113,144.0,247399972,"22,222",13870528,80,"389,540,239","4,392,933",,"22,950,364","296,522,040","1,041,035,733",53,807,,18,"357,941",17,"537,267","1,928",,"1,069,500",,0
Aesthetic,Aesthetic,Tollan Kim,3/4/2022,SGB502208576,114,144.0,5712985,"2,311",535908,44,"3,120,073","56,276","20,114,495","2,452,502,310","33,870,791,454",,4,22,,4,"1,397",1,"21,564",81,,"249,823",,0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,10/18/2018,USUM71814888,116,143.9,3358704125,"392,082",123917182,79,"2,763,188,773","19,410,390","2,714,134","178,829,434","1,597,453,878","484,189,798",351,"273,683",,86,"809,352",99,"546,367,356","906,813",,"1,569,935",,0
Saturn,Saturn - Single,SZA,2/24/2024,USRC12400216,117,142.8,343090427,"21,104",154253718,87,"38,173,339","349,660",,,,"196,380,893",120,"158,378",360,103,"10,995,523",87,"11,441,987","7,496","166,254","745,798",,0
Believer,Believer,Imagine Dragons,1/31/2017,USUM71700626,119,142.2,3006226762,"335,880",89243475,81,"4,495,059,988","42,240,881","5,745,117","453,132,709","5,876,458,723","276,194,776",226,"253,782",388,118,"1,138,425",71,"614,578,695","844,301","2,943,611","21,306,706",,0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,4/27/2022,USSM12203789,120,141.0,787155930,"183,850",58397185,77,"357,772,653","2,590,835","931,660","95,662,104","836,550,889","3,934,416,606",150,"463,665","1,308",32,"399,388",69,"182,315,884","53,326","48,937,045","3,534,164",,1
I KNOW ?,UTOPIA,Travis Scott,7/28/2023,USSM12305012,121,139.5,532605345,"128,534",31725858,81,"97,958,347","1,237,197","322,900","108,595,670","947,194,801","259,363,238",46,"107,637",57,33,"1,423,258",40,"6,334,599","8,712","12,785,993","1,861,958",,1
ANDO,ANDO,Jere Klein,9/27/2023,QMDA72363047,122,139.0,292789738,"28,591",30905957,72,"406,307,035","809,942","1,900,606","68,341,852","872,862,858","1,969,191,415",11,"1,754",,15,"8,391,160",1,"764,473","5,168",,"1,195,337",,1
First Class,First Class,Jack Harlow,4/8/2022,USAT22203024,123,138.6,818858244,"223,609",49586777,71,"231,229,581","2,756,840","1,610,614","624,748,318","6,890,780,336","3,849,170,813",148,"666,615","4,406",37,"759,989",77,"117,451,442","40,907","24,111,168","4,244,972",,1
